SLstatus,same,same2,lc,sc,funcName,bootTime,openTime,addTime1,addTime2,addTime3,halfClose,halfEarn,closeTime,duration,name,symbol,side,closeType,openInfo,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
-1,0_0,0_0,12,17, hl3,04-13 13:55:28,04-13 13:55:48,none,none,none,none,0.00,04-13 14:13:43,17,N569675733,STOUSDT,long,oppo,,-17.77,-0.0125,18.77,0.0268,-29.50,-0.0421,0.70,0,50.07,-18.91,0,0,0,0,1,0
-1,0_0,0_0,13,12, hl3,04-13 14:05:29,04-13 14:05:39,none,none,none,none,0.00,04-13 14:24:04,18,N266004642,FHEUSDT,long,oppo,,-25.95,-0.0182,6.49,0.0093,-27.22,-0.0389,0.70,0,74.96,-27.09,0,0,0,0,2,0
0,0_0,0_0,12,17, hl3,04-13 13:55:28,04-13 13:55:48,none,none,none,none,0.00,04-13 14:55:54,60,N194301625,TROYUSDT,long,oppo,,2.43,0.0035,34.03,0.0486,-7.29,-0.0104,0.35,0,300.91,1.87,0,0,0,0,3,0
-1,0_0,0_0,12,12, hl3,04-13 13:55:28,04-13 14:13:48,none,none,none,none,0.00,04-13 15:06:44,52,N569675733,STOUSDT,short,stopEarn,,14.06,0.0101,94.64,0.0725,-3.33,-0.0421,0.70,0,269.52,-5.97,0,0,0,0,3,0
0,0_0,0_0,12,12, hl3,04-13 14:05:59,04-13 14:06:09,none,none,none,none,0.00,04-13 15:07:59,61,N273178826,XCNUSDT,short,oppo,,-16.76,-0.0234,7.29,0.0105,-17.13,-0.0239,0.35,0,239.82,-23.29,0,0,0,0,4,0
0,0_0,0_0,12,12, hl3,04-13 13:55:28,04-13 14:55:59,none,none,none,none,0.00,04-13 15:11:58,15,N194301625,TROYUSDT,short,oppo,,-7.27,-0.0103,2.42,0.0035,-12.11,-0.0170,0.35,0,223.46,-11.93,0,0,0,0,5,0
-1,0_0,0_0,12,12, hl3,04-13 14:05:59,04-13 14:06:09,none,none,none,none,0.00,04-13 15:12:34,66,N949311609,API3USDT,long,oppo,,-24.13,-0.0169,14.86,0.0212,-24.81,-0.0354,0.70,0,222.55,-31.25,0,0,0,0,6,0
-1,0_0,0_0,18,7, hl3,04-13 13:55:28,04-13 15:12:03,none,none,none,none,0.00,04-13 15:15:19,3,N194301625,TROYUSDT,long,oppo,,-19.11,-0.0135,2.39,0.0034,-28.67,-0.0410,0.70,0,255.84,-32.18,0,0,0,0,7,0
0,0_0,0_0,9,16, hl3,04-13 13:51:40,04-13 13:51:50,none,none,none,none,0.00,04-13 15:29:47,97,N994488979,BRUSDT,long,stopEarn,,8.43,0.0120,84.34,0.1205,-6.02,-0.0086,0.35,0,341.21,1.90,0,0,0,0,7,0
-1,0_0,0_0,18,7, hl3,04-13 13:55:28,04-13 15:15:24,none,none,none,none,0.00,04-13 15:46:22,30,N194301625,TROYUSDT,short,stopLoss,,-73.68,-0.0500,4.91,0.0035,-73.68,-0.0500,0.70,0,312.27,-99.11,0,1,0,0,7,0
0,0_0,0_0,12,17, hl3,04-13 13:55:43,04-13 13:55:53,none,none,none,none,0.00,04-13 15:56:13,120,N568313164,JASMYUSDT,long,oppo,,-2.47,-0.0035,38.97,0.0557,-5.32,-0.0076,0.35,0,396.51,-1.13,0,1,0,0,8,0
-1,0_0,0_0,19,10, hl3,04-13 15:29:52,04-13 15:30:02,none,none,none,none,0.00,04-13 15:57:28,27,N283976208,VIDTUSDT,long,oppo,,-21.43,-0.0151,0.00,0.0000,-28.57,-0.0408,0.70,0,374.46,-20.67,0,1,0,0,9,0
-1,0_0,0_0,19,10, hl3,04-13 13:55:28,04-13 15:46:27,none,none,none,none,0.00,04-13 16:01:21,14,N194301625,TROYUSDT,short,stopLoss,,-86.05,-0.0580,16.27,0.0118,-86.05,-0.0580,0.70,0,368.04,-186.28,0,2,0,0,9,0
-1,0_0,0_0,18,7, hl3,04-13 14:05:59,04-13 15:12:43,none,none,none,none,0.00,04-13 16:02:56,50,N949311609,API3USDT,short,stopEarn,,1.06,0.0008,32.60,0.0238,-14.86,-0.0354,0.70,0,492.61,-23.44,0,2,0,0,9,0
-1,0_0,0_0,19,10, hl3,04-13 13:55:28,04-13 16:01:26,none,none,none,none,0.00,04-13 16:02:56,1,N194301625,TROYUSDT,short,stopEarn,,41.43,0.0305,58.87,0.0440,-2.19,-0.0580,0.70,0,504.70,-145.97,0,2,0,0,9,0
-1,0_0,0_0,8,19, hl3,04-13 16:03:01,04-13 16:03:11,none,none,none,none,0.00,04-13 16:08:36,5,N533350517,NULSUSDT,long,oppo,,-28.66,-0.0201,8.39,0.0120,-28.66,-0.0384,0.70,0,203.51,-201.12,0,2,0,0,10,0
-1,0_0,0_0,13,12, hl3,04-13 14:05:29,04-13 14:05:39,none,none,none,none,0.00,04-13 16:19:24,133,N423936771,BROCCOLIF3BUSDT,long,oppo,,-23.19,-0.0163,22.86,0.0327,-25.22,-0.0360,0.70,0,126.41,-195.65,0,2,0,0,11,0
-1,0_0,0_0,19,10, hl3,04-13 15:29:52,04-13 15:57:33,none,none,none,none,0.00,04-13 16:27:50,30,N283976208,VIDTUSDT,short,stopLoss,,-70.74,-0.0481,58.95,0.0440,-70.74,-0.0481,0.70,0,9.25,-265.74,0,3,0,0,11,0
-1,0_0,0_0,8,19, hl3,04-13 15:29:52,04-13 16:27:55,none,none,none,none,0.00,04-13 16:32:14,4,N283976208,VIDTUSDT,short,stopLoss,,-73.24,-0.0497,16.90,0.0122,-73.24,-0.0497,0.70,0,-1.85,-340.10,0,4,0,0,11,0
0,0_0,0_0,12,12, hl3,04-13 14:05:59,04-13 14:06:09,none,none,none,none,0.00,04-13 16:40:36,154,N150408959,LISTAUSDT,long,stopEarn,,70.79,0.1011,196.98,0.2814,-0.44,-0.0006,0.35,0,102.45,-101.08,0,4,0,0,11,0
0,0_0,0_0,8,16, hl3,04-13 13:48:55,04-13 13:50:55,none,none,none,none,0.00,04-13 16:45:27,174,N876637146,ALCHUSDT,short,stopEarn,,34.00,0.0511,53.69,0.0831,0.00,0.0000,0.35,0,136.39,-67.64,0,4,0,0,11,0
-1,0_0,0_0,8,19, hl3,04-13 15:29:52,04-13 16:32:19,none,none,none,none,0.00,04-13 16:50:09,17,N283976208,VIDTUSDT,short,stopEarn,,61.41,0.0457,82.78,0.0626,-8.06,-0.0497,0.70,0,109.03,-176.14,0,4,0,0,11,0
0,0_0,0_0,18,7, hl3,04-13 15:07:29,04-13 15:07:29,none,none,none,none,0.00,04-13 16:51:59,104,N942454921,PROMPTUSDT,long,oppo,,-5.77,-0.0082,15.14,0.0216,-18.31,-0.0262,0.35,0,-79.78,-182.46,0,4,0,0,12,0
0,0_0,0_0,9,16, hl3,04-13 13:51:40,04-13 13:51:50,none,none,none,none,0.00,04-13 16:56:11,184,N623444139,GOATUSDT,short,oppo,,-20.07,-0.0279,8.78,0.0127,-20.07,-0.0279,0.35,0,-128.95,-196.77,0,4,0,0,13,0
-1,0_0,0_0,10,14, hl3,04-13 16:45:32,04-13 16:45:49,none,none,none,none,0.00,04-13 17:01:37,15,N216421353,TROYUSDT,long,oppo,,-12.58,-0.0088,17.45,0.0249,-28.35,-0.0405,0.70,0,-107.98,-189.86,0,4,0,0,14,0
1,0_0,0_0,19,10, hl3,04-13 13:55:43,04-13 15:56:18,none,none,none,none,0.00,04-13 17:07:08,70,N568313164,JASMYUSDT,short,oppo,,-24.51,-0.0175,19.33,0.0284,-27.10,-0.0373,0.70,0,-45.18,-204.77,0,4,0,0,15,0
1,0_0,0_0,11,11, hl3,04-13 15:07:29,04-13 16:52:04,none,none,none,none,0.00,04-13 17:09:15,17,N942454921,PROMPTUSDT,short,oppo,,-23.66,-0.0169,6.83,0.0099,-25.58,-0.0353,0.70,0,-38.74,-207.22,0,4,0,0,16,0
-1,0_0,0_0,8,19, hl3,04-13 16:03:01,04-13 16:08:41,none,none,none,none,0.00,04-13 17:11:08,62,N533350517,NULSUSDT,short,stopLoss,,-73.13,-0.0496,20.90,0.0152,-73.13,-0.0496,0.70,0,-19.34,-280.20,0,5,0,0,16,0
-1,0_0,0_0,11,11, hl3,04-13 16:03:01,04-13 17:11:13,none,none,none,none,0.00,04-13 17:20:48,9,N533350517,NULSUSDT,short,stopLoss,,-75.94,-0.0515,16.51,0.0119,-75.94,-0.0515,0.70,0,-59.75,-357.26,0,6,0,0,16,0
-1,0_0,0_0,11,11, hl3,04-13 16:03:01,04-13 17:20:53,none,none,none,none,0.00,04-13 17:33:36,12,N533350517,NULSUSDT,short,stopEarn,,15.77,0.0114,40.99,0.0302,-66.22,-0.0515,0.70,0,44.75,-342.62,0,6,0,0,16,0
-1,0_0,0_0,12,14, hl3,04-13 14:01:28,04-13 14:01:38,none,none,none,none,0.00,04-13 17:44:34,222,N462228849,HIPPOUSDT,long,oppo,,-26.29,-0.0184,9.86,0.0141,-26.29,-0.0376,0.70,0,-71.79,-370.06,0,6,0,0,17,0
0,0_0,0_0,16,9, hl3,04-13 17:33:41,04-13 17:34:05,none,none,none,none,0.00,04-13 18:02:45,28,N426543213,LISTAUSDT,short,stopEarn,,21.84,0.0322,21.84,0.0322,-15.60,-0.0218,0.35,0,95.78,-321.34,0,6,0,0,17,0
1,0_0,0_0,15,11, hl3,04-13 18:02:50,04-13 18:03:00,none,none,none,none,0.00,04-13 18:46:15,43,N942028486,VIDTUSDT,short,oppo,,-23.76,-0.0170,17.42,0.0255,-25.34,-0.0349,0.70,0,162.29,-346.19,0,6,0,0,18,0
1,0_0,0_0,11,11, hl3,04-13 15:07:29,04-13 17:09:20,none,none,none,none,0.00,04-13 19:16:12,126,N942454921,PROMPTUSDT,long,stopEarn,,24.84,0.0177,90.60,0.0647,-15.81,-0.0353,0.70,0,217.18,-328.70,0,6,0,0,18,0
0,0_0,0_0,9,16, hl3,04-13 16:40:41,04-13 16:40:51,none,none,none,none,0.00,04-13 19:26:32,165,N678203231,BRUSDT,short,oppo,,-15.44,-0.0216,21.88,0.0323,-18.01,-0.0251,0.35,0,170.90,-344.70,0,6,0,0,19,0
0,0_0,0_0,8,19, hl3,04-13 16:03:01,04-13 16:03:11,none,none,none,none,0.00,04-13 19:35:19,212,N297742718,STOUSDT,short,stopEarn,,6.63,0.0096,35.00,0.0526,-24.48,-0.0338,0.35,0,195.42,-322.63,0,6,0,0,19,0
0,0_0,0_0,11,11, hl3,04-13 16:50:54,04-13 16:50:54,none,none,none,none,0.00,04-13 19:36:44,165,N616474428,COWUSDT,short,oppo,,-2.51,-0.0036,18.10,0.0265,-16.59,-0.0232,0.35,0,214.22,-325.71,0,6,0,0,20,0
1,0_0,0_0,15,11, hl3,04-13 18:02:50,04-13 18:46:20,none,none,none,none,0.00,04-13 19:44:09,57,N942028486,VIDTUSDT,long,stopEarn,,27.69,0.0198,126.15,0.0901,-12.31,-0.0349,0.70,0,158.26,-320.91,0,6,0,0,20,0
0,0_0,0_0,12,12, hl3,04-13 14:05:59,04-13 14:06:09,none,none,none,none,0.00,04-13 20:06:42,360,N365687558,PUMPUSDT,short,oppo,,59.40,0.0927,86.92,0.1418,-11.07,-0.0156,0.35,0,169.04,-262.08,0,6,0,0,21,0
0,0_0,0_0,5,15, hl3,04-13 16:50:54,04-13 19:36:50,none,none,none,none,0.00,04-13 20:14:44,37,N616474428,COWUSDT,long,oppo,,-8.27,-0.0118,3.76,0.0054,-12.53,-0.0232,0.35,0,105.18,-273.98,0,6,0,0,22,0
0,0_0,0_0,13,8, hl3,04-13 19:16:17,04-13 19:16:27,none,none,none,none,0.00,04-13 20:16:47,60,N257853824,LISTAUSDT,short,oppo,,-15.90,-0.0222,8.39,0.0121,-22.08,-0.0306,0.35,0,83.19,-278.53,0,6,0,0,23,0
-1,0_0,0_0,5,15, hl3,04-13 19:35:24,04-13 19:35:34,none,none,none,none,0.00,04-13 20:17:09,41,N958079328,MOODENGUSDT,long,oppo,,-27.07,-0.0190,51.07,0.0730,-27.07,-0.0359,0.70,0,79.81,-290.29,0,6,0,0,24,0
-1,0_0,0_0,12,12, hl3,04-13 14:05:29,04-13 14:24:09,none,none,none,none,0.00,04-13 20:25:42,361,N266004642,FHEUSDT,short,stopEarn,,221.17,0.1876,278.34,0.2482,-30.19,-0.0389,0.70,0,145.64,-69.12,0,6,0,0,24,0
0,0_0,0_0,11,11, hl3,04-13 13:51:40,04-13 16:56:16,none,none,none,none,0.00,04-13 20:26:52,210,N623444139,GOATUSDT,long,oppo,,-23.25,-0.0332,14.69,0.0210,-24.48,-0.0350,0.35,0,143.16,-113.56,0,6,0,0,25,0
0,0_0,0_0,7,16, hl3,04-13 16:50:54,04-13 20:14:49,none,none,none,none,0.00,04-13 20:30:44,15,N616474428,COWUSDT,short,oppo,,-15.20,-0.0213,0.25,0.0004,-20.27,-0.0281,0.35,0,180.47,-96.78,0,6,0,0,26,0
-1,0_0,0_0,11,11, hl3,04-13 16:45:32,04-13 17:01:42,none,none,none,none,0.00,04-13 20:37:28,215,N216421353,TROYUSDT,short,stopEarn,,130.13,0.1025,170.51,0.1387,-4.49,-0.0405,0.70,0,217.75,46.17,0,6,0,0,26,0
