name,bootTime,openTime,addTime1,addTime2,addTime3,closeTime,duration,name,symbol,side,AISide,closeType,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
 macd2,08-02 20:31:51,08-02 20:32:01,none,none,none,08-02 21:35:31,63,N636444931,LPTUSDT,short,zero,oppo,-6.01,-0.0099,3.95,0.0066,-9.42,-0.0155,0.30,0,4.01,-2.49,0,0,0,0,36,0
 macd2,08-02 16:03:06,08-02 20:36:07,none,none,none,08-02 21:42:06,65,shenfu,BTCUSDT,short,zero,oppo,-9.29,-0.0152,1.44,0.0024,-9.80,-0.0161,0.30,0,4.01,-12.92,0,0,0,0,38,0
 macd2,08-02 20:53:06,08-02 20:53:16,none,none,none,08-02 21:55:07,61,N504231117,XEMUSDT,long,zero,macdSubOppo,7.17,0.0120,9.56,0.0159,-11.95,-0.0199,0.30,0,4.01,10.70,0,0,0,0,38,0
 macd2,08-02 16:03:06,08-02 21:42:11,none,none,none,08-02 22:55:17,73,shenfu,BTCUSDT,long,zero,oppo,-29.65,-0.0297,2.05,0.0020,-29.84,-0.0298,0.50,0,10.70,-36.67,0,0,0,0,40,0
 macd2,08-02 16:03:06,08-02 21:26:07,08-02 22:10:42,08-02 22:58:11,none,08-02 22:58:20,92,O359424107,AAVEUSDT,short,zero,stopEarn,63.25,0.0243,69.84,0.0451,-3.94,-0.0158,1.30,0,10.70,51.02,2,0,0,0,40,0
 macd2,08-02 16:53:41,08-02 16:54:01,08-02 21:41:57,none,none,08-02 23:00:33,366,N329086198,LINAUSDT,long,zero,oppo,-57.01,-0.0361,24.81,0.0312,-57.01,-0.0361,0.80,0,10.70,-47.57,2,0,0,0,42,0
 macd2,08-02 20:31:51,08-02 21:35:52,none,none,none,08-02 23:05:38,89,N636444931,LPTUSDT,long,zero,stopLoss,-30.02,-0.0500,9.67,0.0161,-30.02,-0.0500,0.30,0,51.02,14.03,2,2,0,0,42,0
 macd2,08-02 21:57:41,08-02 21:57:51,none,none,none,08-02 23:06:27,68,N357555890,SAGAUSDT,long,zero,stopLoss,-30.14,-0.0502,4.43,0.0074,-30.14,-0.0502,0.30,0,51.02,20.39,2,4,0,0,42,0
 macd2,08-02 16:03:06,08-02 20:04:07,08-02 20:46:47,08-02 23:06:33,none,08-02 23:07:13,183,O746307866,SKLUSDT,short,zero,stopEarn,63.40,0.0243,75.43,0.0454,-16.66,-0.0104,1.30,0,51.02,114.18,4,4,0,0,42,0
 macd2,08-02 16:03:06,08-02 19:31:07,08-02 22:20:24,08-02 23:11:15,none,08-02 23:12:48,221,O853621840,RIFUSDT,short,zero,stopEarn,63.42,0.0243,73.40,0.0451,-5.83,-0.0396,1.30,0,46.56,82.11,6,4,0,0,42,0
 macd2,08-02 17:53:16,08-02 20:36:17,08-02 22:50:23,08-02 23:22:20,none,08-02 23:23:19,167,N468351369,ZETAUSDT,short,zero,stopEarn,61.51,0.0236,82.97,0.0455,-11.09,-0.0181,1.30,0,82.11,143.65,8,4,0,0,42,0
 macd2,08-02 23:15:11,08-02 23:15:21,none,none,none,08-02 23:31:15,15,N704793714,XEMUSDT,short,zero,AICloseOppo,-22.41,-0.0360,4.98,0.0084,-22.41,-0.0360,0.30,0,143.65,120.77,8,4,0,0,42,0
 macd2,08-02 16:08:16,08-02 21:10:21,08-02 22:54:50,none,none,08-02 23:33:59,143,N598865970,STORJUSDT,short,zero,stopEarn,51.06,0.0258,85.87,0.0442,-19.51,-0.0195,1.00,0,143.65,166.67,10,4,0,0,42,0
 macd2,08-02 16:08:16,08-02 20:36:17,08-02 22:55:36,none,none,08-03 00:40:37,244,N246738867,FETUSDT,short,zero,oppo,-26.31,-0.0160,30.48,0.0306,-46.91,-0.0282,0.80,0,143.65,123.36,10,4,0,0,44,0
 macd2,08-02 23:23:24,08-02 23:24:34,none,none,none,08-03 01:00:14,95,N901816731,1000PEPEUSDT,short,zero,oppo,-11.78,-0.0193,8.26,0.0140,-15.32,-0.0249,0.30,0,143.65,131.40,10,4,0,0,46,0
