name,bootTime,openTime,addTime1,addTime2,addTime3,closeTime,duration,name,symbol,side,AISide,closeType,earn,earnRate,maxEarn,maxEarnRate,maxLoss,lossRate,x,Double,Fsum,GSum,stopEarn,stopLoss,stopLossWMA,stopLossWMA_B,oppo,subStatus
 z1,08-05 19:07:49,08-05 19:07:59,none,none,none,08-05 20:08:52,60,N860261698,BNXUSDT,short,oppo,AICloseOppo,-21.01,-0.0338,13.30,0.0227,-21.01,-0.0338,0.30,0,0.00,755.66,34,2,0,0,0,0
 z1,08-05 19:01:29,08-05 19:51:30,none,none,none,08-05 20:21:38,30,N869726112,KASUSDT,long,AIOpenOppo,AICloseOppo,-20.62,-0.0344,7.44,0.0124,-20.62,-0.0401,0.30,0,0.00,687.08,34,2,0,0,0,0
 z1,08-05 19:17:54,08-05 19:18:04,08-05 19:28:29,none,none,08-05 20:35:54,77,N558727667,ONDOUSDT,short,oppo,stopEarn,21.11,0.0132,55.08,0.0353,-52.46,-0.0314,0.80,0,0.00,796.95,36,2,0,0,0,0
 z1,08-05 15:38:09,08-05 19:05:11,08-05 19:32:27,none,none,08-05 20:51:55,106,F363802695_3m,RENDERUSDT,short,oppo,stopEarn,18.38,0.0115,27.12,0.0300,-68.16,-0.0502,0.80,0,0.00,752.38,38,2,0,0,0,0
 z1,08-05 18:40:30,08-05 18:40:41,none,none,none,08-05 20:55:16,134,N418568196,DENTUSDT,short,oppo,stopEarn,7.70,0.0130,17.34,0.0298,-12.52,-0.0204,0.30,0,0.00,784.37,40,2,0,0,0,0
 z1,08-05 18:22:52,08-05 18:23:02,08-05 19:21:27,none,none,08-05 20:55:41,152,N381676101,ANKRUSDT,short,oppo,stopEarn,19.21,0.0120,36.94,0.0303,-40.13,-0.0242,0.80,0,0.00,795.06,42,2,0,0,0,0
 z1,08-05 15:37:57,08-05 15:38:07,08-05 18:28:16,none,none,08-05 21:05:59,327,shenfu,BTCUSDT,short,oppo,stopEarn,36.83,0.0233,69.02,0.0446,-5.61,-0.0093,0.80,0,0.00,812.70,44,2,0,0,0,0
 z1,08-05 18:45:12,08-05 18:45:22,08-05 19:06:27,08-05 21:29:11,none,08-05 21:30:13,164,N292292493,ORBSUSDT,short,oppo,stopEarn,61.33,0.0235,74.69,0.0453,-29.26,-0.0178,1.30,0,0.00,836.33,46,2,0,0,0,0
 z1,08-05 19:17:54,08-05 20:36:55,none,none,none,08-05 21:33:12,56,N558727667,ONDOUSDT,short,oppo,AICloseOppo,-21.31,-0.0343,8.08,0.0136,-21.31,-0.0343,0.30,0,0.00,834.34,46,2,0,0,0,0
 z1,08-05 21:30:18,08-05 21:30:28,none,none,none,08-05 21:34:01,3,N391759990,HIFIUSDT,short,oppo,AICloseOppo,-21.18,-0.0341,0.00,0.0000,-21.18,-0.0341,0.30,0,0.00,814.67,46,2,0,0,0,0
